,Question,Answer
0,do i have too many issues for counseling ?,there is no such thing as too many issues for counseling . many issues are often interrelated and can all be worked on with some time and patience .
1,how can i find myself again ?,check this blog out : four - ways - add - self - esteem - friends - listhope you find a few nuggets of helpfulness in this .
2,is it normal to go into therapy feeling nervous ?,certainly .
3,i have difficulty with communication,"i can offer you hypnosis for confidence in presentations , via skype , if you ' re in cali ."
4,how do i become more self - confident in general ?,check out my latest blog : four - ways - add - self - esteem - friends - listi hope this offers you some nuggets of helpfulness !
5,why do i have low self - esteem and lack confidence ?,check out my latest blog on : four - ways - add - self - esteem - friends - listi hope this offers you some nuggets of helpfulness !
6,i hate the way i look,check out my latest blog : four - ways - add - self - esteem - friends - listi hope this offers you some nuggets of helpfulness !
7,i want to be a boy but i can ' t because of my religion,"chances are your family already knows , they are probably just waiting on confirmation from you to say it . a parent knows their child ."
8,"i cheated on my partner , and i don ' t know how to feel",my questions to you would be : why did you get married ? would it bother you if your spouse did the same to you ?
9,what do you do if your partner isn ' t satisfying your needs sexually ?,depends : what do would you like to see happen ?
10,i just lost my grandpa,your local hospice will have grief support groups and free community counseling available with bereavement counselors who are expects with grief and loss .
11,i over endulge when i drink alcohol and feel extremely guilty about it the next day,i offer that getting a professional assessment is in order to look at your relationship with alcohol .
12,how can i avoid family members who stress me out ?,i just want to understand before i answer . who exactly is complaining ?
13,what ' s wrong with me for going to summer school ?,there is nothing wrong with going to summer school .
14,i feel like i could never be with anyone because no one would want me,what would make you feel no one wants to be with you ?
15,how can i be interested in the same sex after nearly 40 years of being straight ?,sexuality is fluid . it is possible to find yourself attracted sexually or affectionally to different types of people at different times in your life .
16,how do i go about asking my ex - girlfriend to expose me to her friends so i can come out finally ?,i am a bit confused ? are your ex - girlfriend ' s friends gay ? i feel the need for a bit more information .
17,how does counseling end ?,for most : when the money / insurance runs out . when best : when the job is done . . . and you ' re feeling much better .
18,how can i be less stressed ?,learn how to meditate . i recommend a mindful based stress reduction mbsr program .
19,why do i get aroused when women call me ' gay ' ?,maybe it is a way to secretly satisfy your own wish to be or to live life gay .
20,how does a counselor diagnose someone with a disorder ?,"a lot goes into diagnosing for a disorder . it is according to what the provider ' s assessment from information gathered , reported and observed from the client ."
21,how would i know if i have the right therapist ?,if you connect with your therapist and can say whatever you want to say and not be judged .
22,is it normal to cry at therapy ?,crying is clearing . it is a release of energy and toxins . crying is a good thing and a great way to let go and move forward !
23,is it normal to cry at therapy ?,"for many people , crying is a stress - release valve . it is perfectly ok to cry in counseling !"
24,how does someone approach a counselor ?,"usually people call me by phone , they introduce themselves , we chat for a bit , then we schedule a time for their appointment"
